cod_distrito,cod_concelho,nome_concelho,casos,dia
1,1,Águeda,3,24-03-2020
7,5,Évora,4,24-03-2020
1,10,Ílhavo,,24-03-2020
10,12,Óbidos,,24-03-2020
14,1,Abrantes,,25-03-2020
9,1,Aguiar da Beira,,25-03-2020
7,1,Alandroal,,25-03-2020
1,2,Albergaria-a-Velha,5,25-03-2020
8,1,Albufeira,8,25-03-2020
14,2,Alcanena,,25-03-2020
10,1,Alcobaça,,25-03-2020
15,2,Alcochete,3,25-03-2020
8,2,Alcoutim,,25-03-2020
15,1,Alcácer do Sal,,25-03-2020
11,1,Alenquer,,25-03-2020
4,1,Alfândega da Fé,,25-03-2020
17,1,Alijó,,25-03-2020
8,3,Aljezur,,25-03-2020
2,1,Aljustrel,,25-03-2020
15,3,Almada,35,25-03-2020
9,2,Almeida,,25-03-2020
14,3,Almeirim,3,25-03-2020
2,2,Almodôvar,,25-03-2020
14,4,Alpiarça,,25-03-2020
12,1,Alter do Chão,,25-03-2020
10,2,Alvaiázere,,25-03-2020
2,3,Alvito,,25-03-2020
11,15,Amadora,24,25-03-2020
13,1,Amarante,,25-03-2020
3,1,Amares,,25-03-2020
1,3,Anadia,,25-03-2020
43,1,Angra do Heroísmo,,25-03-2020
10,3,Ansião,,25-03-2020
16,1,Arcos de Valdevez,3,25-03-2020
6,1,Arganil,,25-03-2020
18,1,Armamar,,25-03-2020
1,4,Arouca,,25-03-2020
7,2,Arraiolos,,25-03-2020
12,2,Arronches,,25-03-2020
11,2,Arruda dos Vinhos,,25-03-2020
1,5,Aveiro,6,25-03-2020
12,3,Avis,,25-03-2020
11,3,Azambuja,,25-03-2020
13,2,Baião,,25-03-2020
3,2,Barcelos,3,25-03-2020
2,4,Barrancos,,25-03-2020
15,4,Barreiro,6,25-03-2020
10,4,Batalha,,25-03-2020
2,5,Beja,,25-03-2020
5,1,Belmonte,,25-03-2020
14,5,Benavente,,25-03-2020
10,5,Bombarral,,25-03-2020
7,3,Borba,,25-03-2020
17,2,Boticas,,25-03-2020
3,3,Braga,25,25-03-2020
4,2,Bragança,4,25-03-2020
3,4,Cabeceiras de Basto,,25-03-2020
11,4,Cadaval,,25-03-2020
10,6,Caldas da Rainha,,25-03-2020
31,1,Calheta (Madeira),,25-03-2020
45,1,Calheta (São Jorge),,25-03-2020
16,2,Caminha,,25-03-2020
12,4,Campo Maior,,25-03-2020
6,2,Cantanhede,,25-03-2020
4,3,Carrazeda de Ansiães,,25-03-2020
18,2,Carregal do Sal,,25-03-2020
14,6,Cartaxo,4,25-03-2020
11,5,Cascais,43,25-03-2020
10,7,Castanheira de Pêra,,25-03-2020
5,2,Castelo Branco,,25-03-2020
1,6,Castelo de Paiva,,25-03-2020
12,5,Castelo de Vide,,25-03-2020
18,3,Castro Daire,,25-03-2020
8,4,Castro Marim,,25-03-2020
2,6,Castro Verde,,25-03-2020
9,3,Celorico da Beira,,25-03-2020
3,5,Celorico de Basto,,25-03-2020
14,7,Chamusca,,25-03-2020
17,3,Chaves,3,25-03-2020
18,4,Cinfães,,25-03-2020
6,3,Coimbra,41,25-03-2020
6,4,Condeixa-a-Nova,3,25-03-2020
14,8,Constância,,25-03-2020
14,9,Coruche,4,25-03-2020
49,1,Corvo,,25-03-2020
5,3,Covilhã,,25-03-2020
12,6,Crato,,25-03-2020
2,7,Cuba,,25-03-2020
31,2,Câmara de Lobos,3,25-03-2020
12,7,Elvas,,25-03-2020
14,10,Entroncamento,,25-03-2020
1,7,Espinho,9,25-03-2020
3,6,Esposende,,25-03-2020
1,8,Estarreja,,25-03-2020
7,4,Estremoz,,25-03-2020
3,7,Fafe,,25-03-2020
8,5,Faro,9,25-03-2020
13,3,Felgueiras,17,25-03-2020
2,8,Ferreira do Alentejo,,25-03-2020
14,11,Ferreira do Zêzere,,25-03-2020
6,5,Figueira da Foz,,25-03-2020
9,4,Figueira de Castelo Rodrigo,,25-03-2020
10,8,Figueiró dos Vinhos,,25-03-2020
9,5,Fornos de Algodres,,25-03-2020
4,4,Freixo de Espada à Cinta,,25-03-2020
12,8,Fronteira,,25-03-2020
31,3,Funchal,10,25-03-2020
5,4,Fundão,,25-03-2020
12,9,Gavião,,25-03-2020
14,12,Golegã,,25-03-2020
13,4,Gondomar,62,25-03-2020
9,6,Gouveia,,25-03-2020
15,5,Grândola,,25-03-2020
9,7,Guarda,3,25-03-2020
3,8,Guimarães,17,25-03-2020
6,6,Góis,,25-03-2020
47,1,Horta,,25-03-2020
5,5,Idanha-a-Nova,,25-03-2020
8,6,Lagoa (Algarve),3,25-03-2020
42,1,Lagoa (São Miguel),,25-03-2020
8,7,Lagos,,25-03-2020
48,1,Lajes das Flores,,25-03-2020
46,1,Lajes do Pico,,25-03-2020
18,5,Lamego,,25-03-2020
10,9,Leiria,,25-03-2020
11,6,Lisboa,187,25-03-2020
8,8,Loulé,,25-03-2020
11,7,Loures,28,25-03-2020
11,8,Lourinhã,,25-03-2020
13,5,Lousada,27,25-03-2020
6,7,Lousã,,25-03-2020
4,5,Macedo de Cavaleiros,,25-03-2020
31,4,Machico,,25-03-2020
46,2,Madalena,,25-03-2020
11,9,Mafra,8,25-03-2020
13,6,Maia,119,25-03-2020
18,6,Mangualde,,25-03-2020
9,8,Manteigas,,25-03-2020
13,7,Marco de Canaveses,4,25-03-2020
10,10,Marinha Grande,,25-03-2020
12,10,Marvão,,25-03-2020
13,8,Matosinhos,56,25-03-2020
14,13,Mação,,25-03-2020
1,11,Mealhada,,25-03-2020
9,9,Meda,,25-03-2020
16,3,Melgaço,,25-03-2020
