concelho,casos,dia
Matosinhos,303,01-04-2020
Braga,245,01-04-2020
Valongo,233,01-04-2020
Ovar,194,01-04-2020
Sintra,192,01-04-2020
Coimbra,164,01-04-2020
Santa Maria da Feira,162,01-04-2020
Cascais,134,01-04-2020
Vila Real,124,01-04-2020
Loures,101,01-04-2020
Vila Nova de Famalicão,99,01-04-2020
Guimarães,89,01-04-2020
Aveiro,87,01-04-2020
Seixal,79,01-04-2020
Almada,79,01-04-2020
Oeiras,78,01-04-2020
Odivelas,72,01-04-2020
Amadora,68,01-04-2020
Oliveira de Azeméis,67,01-04-2020
Barcelos,55,01-04-2020
Lousada,52,01-04-2020
Felgueiras,50,01-04-2020
Bragança,49,01-04-2020
Santo Tirso,48,01-04-2020
Paços de Ferreira,47,01-04-2020
Paredes,44,01-04-2020
Vila do Conde,39,01-04-2020
Barreiro,38,01-04-2020
Pombal,36,01-04-2020
Resende,36,01-04-2020
Mafra,35,01-04-2020
Trofa,35,01-04-2020
Benavente,10,01-04-2020
Viana do Castelo,34,01-04-2020
Albergaria-a-Velha,32,01-04-2020
Penafiel,32,01-04-2020
Albufeira,31,01-04-2020
Setúbal,31,01-04-2020
Vila Verde,30,01-04-2020
Moita,29,01-04-2020
Faro,28,01-04-2020
Santarém,28,01-04-2020
Marinha Grande,8,01-04-2020
São João da Madeira,28,01-04-2020
Espinho,26,01-04-2020
Estarreja,26,01-04-2020
Vila Franca de Xira,26,01-04-2020
Loulé,25,01-04-2020
Vale de Cambra,23,01-04-2020
Portimão,22,01-04-2020
Póvoa de Varzim,21,01-04-2020
Viseu,21,01-04-2020
Condeixa-a-Nova,20,01-04-2020
Funchal,20,01-04-2020
Marco de Canaveses,20,01-04-2020
Águeda,19,01-04-2020
Montijo,19,01-04-2020
Ílhavo,18,01-04-2020
Leiria,18,01-04-2020
Póvoa de Lanhoso,17,01-04-2020
Cantanhede,15,01-04-2020
Évora,15,01-04-2020
Arouca,14,01-04-2020
Montemor-o-Velho,13,01-04-2020
Amares,13,01-04-2020
Torres Vedras,13,01-04-2020
Arcos de Valdevez,11,01-04-2020
Chaves,11,01-04-2020
Mirandela,11,01-04-2020
Palmela,11,01-04-2020
Vizela,11,01-04-2020
Velas,5,01-04-2020
Esposende,10,01-04-2020
Oliveira do Bairro,10,01-04-2020
Sesimbra,10,01-04-2020
Amarante,9,01-04-2020
Ourém,9,01-04-2020
Vila Real de Santo António,9,01-04-2020
Almeirim,8,01-04-2020
Fafe,8,01-04-2020
Santa Cruz,4,01-04-2020
Soure,8,01-04-2020
Câmara de Lobos,7,01-04-2020
Coruche,7,01-04-2020
Macedo de Cavaleiros,7,01-04-2020
Murtosa,7,01-04-2020
Nelas,7,01-04-2020
Horta,6,01-04-2020
Lamego,6,01-04-2020
Lousã,6,01-04-2020
Oliveira de Frades,6,01-04-2020
Santiago do Cacém,6,01-04-2020
Silves,6,01-04-2020
Alcochete,5,01-04-2020
Alenquer,5,01-04-2020
Alvaiázere,5,01-04-2020
Anadia,5,01-04-2020
Calheta,5,01-04-2020
Mealhada,5,01-04-2020
Melgaço,5,01-04-2020
Miranda do Corvo,5,01-04-2020
Monção,5,01-04-2020
Olhão,5,01-04-2020
Penacova,5,01-04-2020
Peso da Régua,5,01-04-2020
Ponta do Sol,5,01-04-2020
Reguengos de Monsaraz,5,01-04-2020
Vagos,5,01-04-2020
Vila da Praia da Vitória,5,01-04-2020
Castro Daire,4,01-04-2020
Cinfães,4,01-04-2020
Madalena,4,01-04-2020
Porto Santo,4,01-04-2020
Rio Maior,4,01-04-2020
Vieira do Minho,4,01-04-2020
Vimioso,4,01-04-2020
Alcobaça,3,01-04-2020
Alpiarça,3,01-04-2020
Caminha,3,01-04-2020
Carrazeda de Ansiães,3,01-04-2020
Celorico de Basto,3,01-04-2020
Figueira da Foz,3,01-04-2020
Góis,3,01-04-2020
Grândola,3,01-04-2020
Guarda,3,01-04-2020
Lagoa,3,01-04-2020
Mortágua,3,01-04-2020
Peniche,3,01-04-2020
São Pedro do Sul,3,01-04-2020
São Roque do Pico,3,01-04-2020
Sines,3,01-04-2020
Tavira,3,01-04-2020
Tomar,3,01-04-2020
Trancoso,3,01-04-2020
Valença,3,01-04-2020
Valpaços,3,01-04-2020
Vila Nova de Poiares,3,01-04-2020
Vila Pouca de Aguiar,3,01-04-2020
Lisboa,594,02-04-2020
Porto,556,02-04-2020
Vila Nova de Gaia,418,02-04-2020
Gondomar,373,02-04-2020
Maia,361,02-04-2020
Matosinhos,347,02-04-2020
Braga,280,02-04-2020
Valongo,275,02-04-2020
Sintra,224,02-04-2020
Ovar,209,02-04-2020
Coimbra,178,02-04-2020
Santa Maria da Feira,174,02-04-2020
Cascais,149,02-04-2020
Aveiro,127,02-04-2020
Vila Real,124,02-04-2020
Loures,109,02-04-2020
Vila Nova de Famalicão,107,02-04-2020
Guimarães,99,02-04-2020
Oeiras,93,02-04-2020
Almada,86,02-04-2020
Seixal,85,02-04-2020
Odivelas,83,02-04-2020
Amadora,79,02-04-2020
Oliveira de Azeméis,71,02-04-2020
Barcelos,65,02-04-2020
Felgueiras,56,02-04-2020
Lousada,55,02-04-2020
Santo Tirso,54,02-04-2020
Bragança,52,02-04-2020
Barreiro,49,02-04-2020
Paços de Ferreira,48,02-04-2020
Paredes,46,02-04-2020
Trofa,42,02-04-2020
Vila do Conde,39,02-04-2020
Mafra,37,02-04-2020
Penafiel,37,02-04-2020
Resende,37,02-04-2020
Pombal,36,02-04-2020
Vila Verde,36,02-04-2020
Albergaria-a-Velha,34,02-04-2020
Albufeira,34,02-04-2020
Viana do Castelo,34,02-04-2020
Olhão,5,02-04-2020
Setúbal,33,02-04-2020
Baião,4,02-04-2020
Faro,32,02-04-2020
Cinfães,4,02-04-2020
Estarreja,31,02-04-2020
São João da Madeira,30,02-04-2020
Vila Franca de Xira,30,02-04-2020
Moita,29,02-04-2020
Santarém,29,02-04-2020
Espinho,27,02-04-2020
Loulé,25,02-04-2020
Condeixa-a-Nova,24,02-04-2020
Ílhavo,23,02-04-2020
Póvoa de Varzim,23,02-04-2020
Vale de Cambra,23,02-04-2020
Viseu,22,02-04-2020
Marco de Canaveses,21,02-04-2020
Montijo,21,02-04-2020
Portimão,21,02-04-2020
Águeda,20,02-04-2020
Funchal,20,02-04-2020
Leiria,19,02-04-2020
Cantanhede,18,02-04-2020
Amares,17,02-04-2020
Póvoa de Lanhoso,17,02-04-2020
Évora,15,02-04-2020
Torres Vedras,15,02-04-2020
Arouca,14,02-04-2020
Montemor-o-Velho,13,02-04-2020
Arcos de Valdevez,12,02-04-2020
Benavente,12,02-04-2020
Amarante,11,02-04-2020
Chaves,11,02-04-2020
Esposende,11,02-04-2020
Mirandela,11,02-04-2020
Palmela,11,02-04-2020
Vila Real de Santo António,11,02-04-2020
Vizela,11,02-04-2020
Oliveira do Bairro,10,02-04-2020
Cartaxo,9,02-04-2020
Marinha Grande,9,02-04-2020
Ourém,9,02-04-2020
Figueira da Foz,4,02-04-2020
Peso da Régua,9,02-04-2020
Madalena,4,02-04-2020
Sesimbra,9,02-04-2020
Peniche,4,02-04-2020
Almeirim,8,02-04-2020
Porto Santo,4,02-04-2020
Fafe,8,02-04-2020
Rio Maior,4,02-04-2020
Lamego,8,02-04-2020
Santa Cruz,4,02-04-2020
Macedo de Cavaleiros,8,02-04-2020
São Pedro do Sul,4,02-04-2020
Soure,8,02-04-2020
Sines,4,02-04-2020
Alenquer,7,02-04-2020
Tomar,4,02-04-2020
Coruche,7,02-04-2020
Lousã,7,02-04-2020
Murtosa,7,02-04-2020
Nelas,7,02-04-2020
Oliveira de Frades,7,02-04-2020
Silves,7,02-04-2020
Horta,6,02-04-2020
Miranda do Corvo,6,02-04-2020
Penacova,6,02-04-2020
Santiago do Cacém,6,02-04-2020
Vagos,6,02-04-2020
Vieira do Minho,6,02-04-2020
Alcochete,5,02-04-2020
Alvaiázere,5,02-04-2020
Anadia,5,02-04-2020
Calheta,5,02-04-2020
Castro Daire,5,02-04-2020
Mealhada,5,02-04-2020
Melgaço,5,02-04-2020
Monção,5,02-04-2020
Vila Praia da Vitória,5,02-04-2020
Velas,5,02-04-2020
Reguengos de Monsaraz,5,02-04-2020
Ponta do Sol,5,02-04-2020
Penacova,5,02-04-2020
Vimioso,4,02-04-2020
Alcobaça,3,02-04-2020
Alpiarça,3,02-04-2020
Caminha,3,02-04-2020
Carrazeda de Ansiães,3,02-04-2020
Celorico de Basto,3,02-04-2020
Góis,3,02-04-2020
Grândola,3,02-04-2020
Guarda,3,02-04-2020
Lagoa,3,02-04-2020
Mortágua,3,02-04-2020
Paredes de Coura,3,02-04-2020
Salvaterra de Magos,3,02-04-2020
São Roque do Pico,3,02-04-2020
Serpa,3,02-04-2020
Tavira,3,02-04-2020
Valença,3,02-04-2020
Valpaços,3,02-04-2020
Vila Nova de Poiares,3,02-04-2020
Vila Pouca de Aguiar,3,02-04-2020
Lisboa,634,03-04-2020
Porto,606,03-04-2020
Vila Nova de Gaia,449,03-04-2020
Gondomar,424,03-04-2020
Maia,390,03-04-2020
Matosinhos,368,03-04-2020
Valongo,308,03-04-2020
Braga,305,03-04-2020
Sintra,242,03-04-2020
Ovar,220,03-04-2020
