data,rt_nacional,rt_95_inferior_nacional,rt_95_superior_nacional,rt_continente,rt_95_inferior_continente,rt_95_superior_continente,rt_arsnorte,rt_95_inferior_arsnorte,rt_95_superior_arsnorte,rt_arscentro,rt_95_inferior_arscentro,rt_95_superior_arscentro,rt_arslvt,rt_95_inferior_arslvt,rt_95_superior_arslvt,rt_arsalentejo,rt_95_inferior_arsalentejo,rt_95_superior_arsalentejo,rt_arsalgarve,rt_95_inferior_arsalgarve,rt_95_superior_arsalgarve,rt_açores,rt_95_inferior_açores,rt_95_superior_açores,rt_madeira,rt_95_inferior_madeira,rt_95_superior_madeira
2021-06-04,1.06767974147001,1.03535545861134,1.10083363929656,1.08010168484491,1.04783465087792,1.11395882098752,0.964065033310338,0.90583266385459,1.02336045616617,1.0590699774633,0.950581200136955,1.17400489930258,1.14109772618718,1.0923590005353,1.1908549058128,1.15733007214572,0.966637390194396,1.36194945000316,1.08932669420251,0.932879771260994,1.25817700311008,0.94672013445284,0.807512352775947,1.09427553353306,0.712062441970207,0.51418282640301,0.94354352409395
2021-06-05,1.08433320234267,1.05171010772251,1.11738120461231,1.09669199382514,1.06241411466221,1.13066297619916,0.971586455884299,0.912258487516902,1.03275410733615,1.09278544291399,0.984575584934837,1.20841544857247,1.1509322839899,1.10345199018091,1.19999062750633,1.20288831653368,1.01568182838898,1.40794962122609,1.14935977248655,0.990893977614696,1.32159594652575,0.98173604606842,0.834425454044438,1.13232878928927,0.659921347540474,0.466759931152783,0.889030785868274
2021-06-06,1.09027877155024,1.05931177700348,1.12338489074185,1.10066495186807,1.06628676165233,1.13416266184145,0.984067441994336,0.925758001316094,1.04514607804439,1.02802750686911,0.925341115361601,1.13687520355611,1.16294930601164,1.11647261505879,1.21099436060485,1.20282937241671,1.0177047225583,1.40887877054259,1.1058260610887,0.954304131337838,1.26915433521566,1.01580823810841,0.869944908462117,1.17037049514032,0.686769279321723,0.482059955606803,0.927840837649216
2021-06-07,1.10566887499088,1.07336117597645,1.13883774415287,1.11347471956259,1.07953115993641,1.14720295508283,0.98888196667154,0.928916641633842,1.0517868718561,1.02657497040752,0.922517647005182,1.13942905650968,1.17436676125615,1.12588231507365,1.22286300022726,1.23972540273208,1.05615350843515,1.43796058324759,1.15315943195824,1.00304021017197,1.32173920999401,1.06740207043631,0.919502227747637,1.22713832004554,0.763988771842213,0.536701464747586,1.02466632402345
2021-06-08,1.12863241400034,1.09537099986449,1.16186847661752,1.13490360524082,1.10059653680146,1.16976735469816,0.994248872706673,0.935410348930608,1.05442510777323,1.00041767611023,0.897410089205105,1.10482863547935,1.20154485695185,1.1553329057946,1.24966066800356,1.26599438076651,1.08806716051217,1.45676226333902,1.22807135430745,1.07217509009862,1.39754530619525,1.10943380173954,0.962723921762213,1.26974658118851,0.8205673832572,0.578588975534234,1.10783785733462
2021-06-09,1.14544940656481,1.11197466175395,1.17906042513863,1.15025449934661,1.11485328857941,1.1852308664958,1.0181879714542,0.958915016174962,1.07882985377883,1.04403704341109,0.938700708184469,1.15647254189738,1.20678098568602,1.16038720601227,1.25415377847747,1.2404756690731,1.06508291191083,1.42566571960327,1.24976397680362,1.09440488792164,1.41530630468347,1.16371220687063,1.00969077971199,1.3272921340324,0.871088494063826,0.628989319465397,1.153172497621
2021-06-10,1.14225197488104,1.10858840449767,1.17618091819134,1.14845214161352,1.11316365951092,1.18301265242768,1.02239313679956,0.963512725920836,1.08087038223093,1.03442894466144,0.929990396009771,1.14419406347344,1.20478613894293,1.15973285260939,1.25155651098994,1.16411538056336,1.0033180402547,1.33991525684818,1.23984986260239,1.09225270739844,1.40148125117301,1.12691248265397,0.981938106161961,1.28272950252219,0.909208736237738,0.646269800589601,1.20498146139813
2021-06-11,1.15200972492755,1.11892260050241,1.1856464134782,1.15751937748388,1.12339737930255,1.1924107272834,1.01602533459612,0.955227044542662,1.07698921034783,1.08831836262308,0.980795044712303,1.20393148727859,1.21495408770589,1.16949979059218,1.26113293154144,1.12917920751801,0.971076211227684,1.29823176675879,1.24932243154545,1.10457351988234,1.40495216381884,1.12722220603919,0.986675247731713,1.27821225037622,1.00889510451898,0.740914676036662,1.32355652908636
2021-06-12,1.16214455819885,1.12832190567491,1.19527984672901,1.17041425333992,1.13500291199374,1.20602508892912,1.0238110036486,0.963168837508954,1.08469848089197,1.10653095694611,1.00503005831305,1.2139503249387,1.2307325958121,1.18491587194924,1.27677429830772,1.07657276760062,0.930038197627249,1.24046419919794,1.23714325617279,1.0978956760148,1.38980011461341,1.08606334076154,0.951850003033916,1.23681728242351,1.05288719470056,0.772166310253334,1.37797827191552
2021-06-13,1.16028307168836,1.127046174777,1.19402371986324,1.16925908454613,1.13514730963539,1.20466068913416,1.05046920161977,0.990065792516474,1.11247958209133,1.07910361922173,0.976395506387605,1.18736917314784,1.21264931016523,1.16778589761756,1.25912423612715,1.1016633194939,0.94927289925656,1.25931070417719,1.30788697953837,1.16927067485568,1.45652553315652,1.05640642050402,0.921723009155058,1.19753003525963,1.00188516240221,0.735565221261539,1.30671808352519
2021-06-14,1.18958068084893,1.1570318268153,1.22312212490118,1.20173410951254,1.16635318436318,1.23698718920181,1.04667283716706,0.986378329278311,1.10747175639332,1.17017284432405,1.06473315935957,1.27929573017707,1.24804374880495,1.20448409267078,1.29339466961931,1.06737363929739,0.914368415234526,1.2244874300243,1.39423762640493,1.25083273195616,1.543778820108,1.00388148701834,0.873723925412836,1.14198520014433,1.04442815582061,0.766882294295969,1.36784897743607
2021-06-15,1.19351634112772,1.16059958384752,1.22705231731183,1.20626493262126,1.17005252305792,1.24273035527968,1.078148746629,1.01673918144423,1.13871005920281,1.17829635818347,1.07235626632381,1.28788091192777,1.24030436364932,1.19478230347382,1.2870334527288,1.02596360468728,0.887292879099428,1.17377681817405,1.42639324813502,1.28589366825372,1.57269305706056,0.968940474538746,0.844578334427875,1.10667486712273,1.13825654940647,0.854160613900243,1.46868444885966
2021-06-16,1.20433231525943,1.17112665906856,1.23828467872814,1.2174941049424,1.18217841281937,1.2542478316331,1.05227445686561,0.992316644254687,1.11486271453826,1.19206147186,1.09174986506351,1.297873339703,1.25750508286421,1.21302252429652,1.30224373837841,1.11682133997422,0.969419887620836,1.27786210698069,1.40864766668771,1.27698557609219,1.5513158776043,0.953718340254323,0.82834968800817,1.09336376131987,1.08447579610969,0.808794819158398,1.39908104455557
2021-06-17,1.18052242521524,1.14700228139933,1.21469529347811,1.19321488509211,1.15777028812041,1.22957495586823,1.03320676761545,0.974389043088792,1.09104090464204,1.11967833332588,1.0218515615994,1.22426106528239,1.23184151822837,1.18848180465561,1.27638418258838,1.1781358204406,1.02441126238173,1.33848479071954,1.36381342824872,1.23805748264619,1.49377933218014,0.931917836363018,0.804062542044336,1.07115469532146,1.10239488740386,0.836616865447896,1.41003277758028
2021-06-18,1.1588367826271,1.1275223596926,1.19038117777311,1.16845454521318,1.13370561611953,1.20284862964565,1.02708018960903,0.968802100450744,1.08547352613088,1.11194123511274,1.01679227041563,1.21067592372625,1.19129218439168,1.1498856617351,1.2334929038566,1.16025137201138,1.01208844978422,1.31915763100062,1.39443648214521,1.27509950302106,1.51998509875315,1.00259227974908,0.865867765469079,1.14624905457832,0.993711536139013,0.743908554013904,1.26847920556356
2021-06-19,1.14721998176935,1.11675670798401,1.17777653737842,1.15377797886613,1.12199848434874,1.18591388466261,1.01062300637853,0.95295271995454,1.06901645151728,1.13741143307199,1.04102278915906,1.23915799064399,1.17298582098246,1.13553170742396,1.21129171921358,1.14883761392245,1.00770315936097,1.30390785300524,1.34622888395435,1.23036623686106,1.46492524778567,1.0316008035864,0.891427856651778,1.17663429502187,1.08384548089838,0.818164472974796,1.38813347666048
2021-06-20,1.12678532752623,1.09888958257558,1.15602507219524,1.13431241096105,1.1050549053723,1.16553472638995,1.00036866102204,0.944302245197691,1.0597279821021,1.15742731492922,1.06256431484626,1.25533958409859,1.14651770309051,1.11079128923878,1.18201190698368,1.0973570973818,0.959101217418807,1.24453684960227,1.32059163741542,1.2165415804966,1.43300475196381,0.984455453917385,0.851946133133529,1.1294425358948,1.09947738821109,0.830410882098639,1.39211726870848
