data,concelho,confirmados_14,confirmados_1,incidencia,incidencia_categoria,incidencia_risco,distrito,dicofre,area,population,population_65_69,population_70_74,population_75_79,population_80_84,population_85_mais,population_80_mais,population_75_mais,population_70_mais,population_65_mais,densidade_populacional,densidade_1,densidade_2,densidade_3
11-11-2020,ELVAS,57,4,278.0,"Acima de 240,0 ",Muito elevada,PORTALEGRE,1207,63128.86,20528,1057,1145,902,852,810,1662,2564,3709,4766,32.52,7.55,5.88,4.06
11-11-2020,ENTRONCAMENTO,42,3,195.0,"Entre 120,0 e 239,9",Elevada,SANTARÉM,1410,1372.81,21558,1066,930,868,695,592,1287,2155,3085,4151,1570.14,302.33,224.69,156.96
11-11-2020,ESPINHO,261,19,884.0,"Acima de 240,0 ",Muito elevada,AVEIRO,0107,2105.68,29516,2205,1993,1430,1177,960,2137,3567,5560,7765,1401.52,368.71,264.01,169.37
11-11-2020,ESPOSENDE,204,15,597.0,"Acima de 240,0 ",Muito elevada,BRAGA,0306,9540.98,34177,1831,1522,1095,894,723,1617,2712,4234,6065,358.21,63.57,44.38,28.42
11-11-2020,ESTARREJA,91,7,350.0,"Acima de 240,0 ",Muito elevada,AVEIRO,0108,10817.33,26006,1503,1399,1106,953,728,1681,2787,4186,5689,240.42,52.59,38.7,25.76
11-11-2020,ESTREMOZ,75,5,589.0,"Acima de 240,0 ",Muito elevada,ÉVORA,0704,51379.95,12728,789,613,697,786,877,1663,2360,2973,3762,24.77,7.32,5.79,4.59
11-11-2020,ÉVORA,154,11,294.0,"Acima de 240,0 ",Muito elevada,ÉVORA,0705,130707.58,52428,3569,2852,2176,1966,1803,3769,5945,8797,12366,40.11,9.46,6.73,4.55
11-11-2020,FAFE,859,61,1787.0,"Acima de 240,0 ",Muito elevada,BRAGA,0307,21908.11,48060,3044,2455,1679,1403,1208,2611,4290,6745,9789,219.37,44.68,30.79,19.58
11-11-2020,FARO,213,15,349.0,"Acima de 240,0 ",Muito elevada,FARO,0805,20256.79,61015,3847,3364,2604,2055,1601,3656,6260,9624,13471,301.2,66.5,47.51,30.9
11-11-2020,FELGUEIRAS,970,69,1719.0,"Acima de 240,0 ",Muito elevada,PORTO,1303,11573.75,56422,2951,2302,1601,1316,973,2289,3890,6192,9143,487.49,79.0,53.5,33.61
